Global-Mean Surface Temperature
 
Temperature Anomaly (\So\C)
Year Monthly_Mean_(GHCN4)
1999.54 0.38
1999.62 0.32
1999.71 0.39
1999.79 0.34
1999.88 0.37
1999.96 0.41
2000.04 0.25
2000.12 0.56
2000.21 0.55
2000.29 0.56
2000.38 0.36
2000.46 0.4
2000.54 0.39
2000.62 0.42
2000.71 0.38
2000.79 0.26
2000.88 0.3
2000.96 0.28
2001.04 0.46
2001.12 0.44
2001.21 0.56
2001.29 0.51
2001.38 0.58
2001.46 0.52
2001.54 0.59
2001.62 0.49
2001.71 0.52
2001.79 0.5
2001.88 0.72
2001.96 0.56
2002.04 0.77
2002.12 0.79
2002.21 0.88
2002.29 0.58
2002.38 0.64
2002.46 0.53
2002.54 0.61
2002.62 0.53
2002.71 0.63
2002.79 0.54
2002.88 0.59
2002.96 0.44
2003.04 0.75
2003.12 0.58
2003.21 0.59
2003.29 0.55
2003.38 0.6
2003.46 0.48
2003.54 0.58
2003.62 0.65
2003.71 0.62
2003.79 0.73
2003.88 0.53
2003.96 0.75
2004.04 0.58
2004.12 0.72
2004.21 0.63
2004.29 0.61
2004.38 0.38
2004.46 0.44
2004.54 0.26
2004.62 0.46
2004.71 0.5
2004.79 0.6
2004.88 0.72
2004.96 0.51
2005.04 0.74
2005.12 0.6
2005.21 0.74
2005.29 0.68
2005.38 0.63
2005.46 0.64
2005.54 0.61
2005.62 0.6
2005.71 0.71
2005.79 0.75
2005.88 0.73
2005.96 0.68
2006.04 0.56
2006.12 0.73
2006.21 0.63
2006.29 0.48
2006.38 0.49
2006.46 0.66
2006.54 0.54
2006.62 0.7
2006.71 0.65
2006.79 0.69
2006.88 0.74
2006.96 0.79
2007.04 1.02
2007.12 0.7
2007.21 0.73
2007.29 0.76
2007.38 0.69
2007.46 0.61
2007.54 0.6
2007.62 0.6
2007.71 0.6
2007.79 0.58
2007.88 0.58
2007.96 0.49
2008.04 0.3
2008.12 0.38
2008.21 0.74
2008.29 0.54
2008.38 0.49
2008.46 0.49
2008.54 0.6
2008.62 0.47
2008.71 0.61
2008.79 0.67
2008.88 0.69
2008.96 0.54
2009.04 0.65
2009.12 0.53
2009.21 0.54
2009.29 0.61
2009.38 0.65
2009.46 0.65
2009.54 0.73
2009.62 0.68
2009.71 0.72
2009.79 0.65
2009.88 0.79
2009.96 0.68
2010.04 0.75
2010.12 0.83
2010.21 0.92
2010.29 0.85
2010.38 0.75
2010.46 0.67
2010.54 0.62
2010.62 0.67
2010.71 0.63
2010.79 0.7
2010.88 0.81
2010.96 0.45
2011.04 0.51
2011.12 0.48
2011.21 0.65
2011.29 0.65
2011.38 0.53
2011.46 0.62
2011.54 0.7
2011.62 0.75
2011.71 0.57
2011.79 0.66
2011.88 0.58
2011.96 0.6
2012.04 0.49
2012.12 0.49
2012.21 0.58
2012.29 0.72
2012.38 0.78
2012.46 0.64
2012.54 0.58
2012.62 0.65
2012.71 0.72
2012.79 0.79
2012.88 0.78
2012.96 0.53
2013.04 0.7
2013.12 0.62
2013.21 0.67
2013.29 0.54
2013.38 0.61
2013.46 0.69
2013.54 0.6
2013.62 0.69
2013.71 0.77
2013.79 0.69
2013.88 0.84
2013.96 0.7
2014.04 0.75
2014.12 0.55
2014.21 0.78
2014.29 0.8
2014.38 0.86
2014.46 0.67
2014.54 0.58
2014.62 0.83
2014.71 0.88
2014.79 0.81
2014.88 0.66
2014.96 0.79
2015.04 0.85
2015.12 0.9
2015.21 0.96
2015.29 0.75
2015.38 0.8
2015.46 0.81
2015.54 0.73
2015.62 0.8
2015.71 0.85
2015.79 1.1
2015.88 1.06
2015.96 1.16
2016.04 1.17
2016.12 1.37
2016.21 1.36
2016.29 1.11
2016.38 0.95
2016.46 0.8
2016.54 0.85
2016.62 1.02
2016.71 0.9
2016.79 0.89
2016.88 0.92
2016.96 0.87
2017.04 1.02
2017.12 1.14
2017.21 1.17
2017.29 0.94
2017.38 0.91
2017.46 0.72
2017.54 0.82
2017.62 0.87
2017.71 0.77
2017.79 0.9
2017.88 0.88
2017.96 0.94
2018.04 0.81
2018.12 0.85
2018.21 0.89
2018.29 0.88
2018.38 0.83
2018.46 0.78
2018.54 0.83
2018.62 0.77
2018.71 0.8
2018.79 1.02
2018.88 0.83
2018.96 0.92
2019.04 0.93
2019.12 0.95
2019.21 1.18
2019.29 1.01
2019.38 0.85
2019.46 0.91
2019.54 0.94
2019.62 0.95
2019.71 0.92
2019.79 1.01
2019.88 0.99
2019.96 1.09
2020.04 1.16
2020.12 1.24
2020.21 1.17
2020.29 1.13
2020.38 1.02
2020.46 0.92
2020.54 0.91
2020.62 0.87
2020.71 0.99
2020.79 0.89
2020.88 1.11
2020.96 0.82
2021.04 0.82
2021.12 0.65
2021.21 0.89
2021.29 0.76
2021.38 0.79
2021.46 0.85
2021.54 0.93
2021.62 0.81
2021.71 0.92
2021.79 0.99
2021.88 0.93
2021.96 0.86
2022.04 0.91
2022.12 0.9
 
