Global-Mean Surface Temperature
 
Temperature Anomaly (\So\C)
Year Monthly_Mean_(GHCN4)
1906.46 -0.19
1906.54 -0.23
1906.62 -0.2
1906.71 -0.28
1906.79 -0.2
1906.88 -0.37
1906.96 -0.14
1907.04 -0.43
1907.12 -0.51
1907.21 -0.27
1907.29 -0.36
1907.38 -0.46
1907.46 -0.42
1907.54 -0.35
1907.62 -0.34
1907.71 -0.34
1907.79 -0.22
1907.88 -0.46
1907.96 -0.46
1908.04 -0.44
1908.12 -0.32
1908.21 -0.55
1908.29 -0.44
1908.38 -0.37
1908.46 -0.38
1908.54 -0.35
1908.62 -0.46
1908.71 -0.36
1908.79 -0.44
1908.88 -0.51
1908.96 -0.48
1909.04 -0.72
1909.12 -0.45
1909.21 -0.54
1909.29 -0.58
1909.38 -0.54
1909.46 -0.51
1909.54 -0.45
1909.62 -0.33
1909.71 -0.38
1909.79 -0.4
1909.88 -0.31
1909.96 -0.56
1910.04 -0.42
1910.12 -0.41
1910.21 -0.5
1910.29 -0.42
1910.38 -0.33
1910.46 -0.38
1910.54 -0.34
1910.62 -0.36
1910.71 -0.38
1910.79 -0.4
1910.88 -0.55
1910.96 -0.66
1911.04 -0.62
1911.12 -0.57
1911.21 -0.61
1911.29 -0.53
1911.38 -0.51
1911.46 -0.5
1911.54 -0.41
1911.62 -0.43
1911.71 -0.4
1911.79 -0.26
1911.88 -0.2
1911.96 -0.21
1912.04 -0.24
1912.12 -0.13
1912.21 -0.37
1912.29 -0.17
1912.38 -0.2
1912.46 -0.23
1912.54 -0.42
1912.62 -0.54
1912.71 -0.58
1912.79 -0.57
1912.88 -0.38
1912.96 -0.42
1913.04 -0.4
1913.12 -0.44
1913.21 -0.42
1913.29 -0.39
1913.38 -0.43
1913.46 -0.45
1913.54 -0.36
1913.62 -0.34
1913.71 -0.34
1913.79 -0.32
1913.88 -0.19
1913.96 -0.02
1914.04 0.05
1914.12 -0.09
1914.21 -0.24
1914.29 -0.29
1914.38 -0.21
1914.46 -0.25
1914.54 -0.23
1914.62 -0.16
1914.71 -0.16
1914.79 -0.03
1914.88 -0.15
1914.96 -0.03
1915.04 -0.2
1915.12 -0.03
1915.21 -0.09
1915.29 0.07
1915.38 -0.06
1915.46 -0.22
1915.54 -0.12
1915.62 -0.22
1915.71 -0.2
1915.79 -0.24
1915.88 -0.13
1915.96 -0.22
1916.04 -0.12
1916.12 -0.14
1916.21 -0.28
1916.29 -0.3
1916.38 -0.34
1916.46 -0.49
1916.54 -0.37
1916.62 -0.28
1916.71 -0.36
1916.79 -0.33
1916.88 -0.46
1916.96 -0.81
1917.04 -0.57
1917.12 -0.63
1917.21 -0.63
1917.29 -0.54
1917.38 -0.55
1917.46 -0.43
1917.54 -0.25
1917.62 -0.22
1917.71 -0.23
1917.79 -0.44
1917.88 -0.33
1917.96 -0.67
1918.04 -0.47
1918.12 -0.33
1918.21 -0.24
1918.29 -0.44
1918.38 -0.42
1918.46 -0.36
1918.54 -0.32
1918.62 -0.32
1918.71 -0.17
1918.79 -0.06
1918.88 -0.11
1918.96 -0.29
1919.04 -0.2
1919.12 -0.24
1919.21 -0.21
1919.29 -0.12
1919.38 -0.28
1919.46 -0.36
1919.54 -0.29
1919.62 -0.33
1919.71 -0.25
1919.79 -0.2
1919.88 -0.41
1919.96 -0.42
1920.04 -0.24
1920.12 -0.26
1920.21 -0.12
1920.29 -0.24
1920.38 -0.27
1920.46 -0.36
1920.54 -0.3
1920.62 -0.26
1920.71 -0.22
1920.79 -0.26
1920.88 -0.27
1920.96 -0.46
1921.04 -0.04
1921.12 -0.17
1921.21 -0.23
1921.29 -0.3
1921.38 -0.3
1921.46 -0.27
1921.54 -0.15
1921.62 -0.26
1921.71 -0.19
1921.79 -0.03
1921.88 -0.13
1921.96 -0.18
1922.04 -0.33
1922.12 -0.44
1922.21 -0.15
1922.29 -0.23
1922.38 -0.34
1922.46 -0.31
1922.54 -0.28
1922.62 -0.33
1922.71 -0.36
1922.79 -0.33
1922.88 -0.15
1922.96 -0.19
1923.04 -0.28
1923.12 -0.39
1923.21 -0.34
1923.29 -0.41
1923.38 -0.34
1923.46 -0.3
1923.54 -0.31
1923.62 -0.33
1923.71 -0.31
1923.79 -0.14
1923.88 -0.02
1923.96 -0.05
1924.04 -0.23
1924.12 -0.24
1924.21 -0.08
1924.29 -0.31
1924.38 -0.18
1924.46 -0.26
1924.54 -0.29
1924.62 -0.36
1924.71 -0.32
1924.79 -0.35
1924.88 -0.21
1924.96 -0.43
1925.04 -0.38
1925.12 -0.4
1925.21 -0.28
1925.29 -0.25
1925.38 -0.29
1925.46 -0.32
1925.54 -0.26
1925.62 -0.2
1925.71 -0.2
1925.79 -0.17
1925.88 0.05
1925.96 0.06
1926.04 0.2
1926.12 0.03
1926.21 0.11
1926.29 -0.12
1926.38 -0.23
1926.46 -0.26
1926.54 -0.28
1926.62 -0.13
1926.71 -0.14
1926.79 -0.11
1926.88 -0.06
1926.96 -0.29
1927.04 -0.27
1927.12 -0.18
1927.21 -0.38
1927.29 -0.3
1927.38 -0.25
1927.46 -0.27
1927.54 -0.18
1927.62 -0.24
1927.71 -0.13
1927.79 -0.01
1927.88 -0.05
1927.96 -0.33
1928.04 -0.02
1928.12 -0.09
1928.21 -0.25
1928.29 -0.28
1928.38 -0.3
1928.46 -0.39
1928.54 -0.19
1928.62 -0.23
1928.71 -0.22
1928.79 -0.19
1928.88 -0.09
1928.96 -0.17
1929.04 -0.45
1929.12 -0.59
1929.21 -0.32
1929.29 -0.42
1929.38 -0.38
1929.46 -0.44
1929.54 -0.37
1929.62 -0.33
1929.71 -0.26
1929.79 -0.14
1929.88 -0.11
1929.96 -0.54
1930.04 -0.3
1930.12 -0.27
1930.21 -0.11
1930.29 -0.25
1930.38 -0.24
1930.46 -0.22
1930.54 -0.21
1930.62 -0.15
1930.71 -0.15
1930.79 -0.12
1930.88 0.18
1930.96 -0.05
1931.04 -0.1
1931.12 -0.21
1931.21 -0.1
1931.29 -0.22
1931.38 -0.19
1931.46 -0.08
1931.54 -0.04
1931.62 -0.04
1931.71 -0.07
1931.79 0.05
1931.88 -0.06
1931.96 -0.05
1932.04 0.15
1932.12 -0.17
1932.21 -0.18
1932.29 -0.06
1932.38 -0.17
1932.46 -0.29
1932.54 -0.24
1932.62 -0.22
1932.71 -0.1
1932.79 -0.09
1932.88 -0.27
1932.96 -0.26
1933.04 -0.23
1933.12 -0.29
1933.21 -0.29
1933.29 -0.24
1933.38 -0.29
1933.46 -0.34
1933.54 -0.21
1933.62 -0.24
1933.71 -0.29
1933.79 -0.25
1933.88 -0.3
1933.96 -0.44
1934.04 -0.21
1934.12 -0.02
1934.21 -0.29
1934.29 -0.3
