time,TSI
1900-01-15,1360.3507
1900-02-15,1360.333
1900-03-15,1360.3
1900-04-15,1360.3889
1900-05-15,1360.3254
1900-06-15,1360.3455
1900-07-15,1360.3365
1900-08-15,1360.3119
1900-09-15,1360.3354
1900-10-15,1360.2792
1900-11-15,1360.292
1900-12-15,1360.247
1901-01-15,1360.2347
1901-02-15,1360.248
1901-03-15,1360.2678
1901-04-15,1360.2542
1901-05-15,1360.1698
1901-06-15,1360.3054
1901-07-15,1360.2694
1901-08-15,1360.2477
1901-09-15,1360.2466
1901-10-15,1360.2704
1901-11-15,1360.2911
1901-12-15,1360.2775
1902-01-15,1360.2307
1902-02-15,1360.2756
1902-03-15,1360.2144
1902-04-15,1360.277
1902-05-15,1360.2761
1902-06-15,1360.2926
1902-07-15,1360.2789
1902-08-15,1360.2906
1902-09-15,1360.3278
1902-10-15,1360.3362
1902-11-15,1360.2904
1902-12-15,1360.3208
1903-01-15,1360.3864
1903-02-15,1360.4812
1903-03-15,1360.4324
1903-04-15,1360.4362
1903-05-15,1360.5405
1903-06-15,1360.5151
1903-07-15,1360.514
1903-08-15,1360.6068
1903-09-15,1360.5334
1903-10-15,1360.1056
1903-11-15,1360.3771
1903-12-15,1360.7443
1904-01-15,1360.6323
1904-02-15,1360.5311
1904-03-15,1360.7302
1904-04-15,1360.4747
1904-05-15,1360.9304
1904-06-15,1360.8063
1904-07-15,1360.7711
1904-08-15,1360.7278
1904-09-15,1360.8357
1904-10-15,1360.7472
1904-11-15,1360.8992
1904-12-15,1360.8555
1905-01-15,1360.7537
1905-02-15,1360.1974
1905-03-15,1360.2878
1905-04-15,1360.7657
1905-05-15,1360.6736
1905-06-15,1360.7291
1905-07-15,1360.3965
1905-08-15,1360.6909
1905-09-15,1360.9235
1905-10-15,1360.059
1905-11-15,1360.4618
1905-12-15,1360.9243
1906-01-15,1360.6869
1906-02-15,1360.7961
1906-03-15,1360.6547
1906-04-15,1360.8289
1906-05-15,1360.6086
1906-06-15,1360.952
1906-07-15,1360.8934
1906-08-15,1360.886
1906-09-15,1360.8676
1906-10-15,1360.7542
1906-11-15,1360.6149
1906-12-15,1360.6793
1907-01-15,1360.856
1907-02-15,1360.2354
1907-03-15,1360.9749
1907-04-15,1360.7665
1907-05-15,1360.6113
1907-06-15,1360.3535
1907-07-15,1360.4855
1907-08-15,1360.8574
1907-09-15,1360.6862
1907-10-15,1360.7413
1907-11-15,1360.6675
1907-12-15,1360.5306
1908-01-15,1360.8203
1908-02-15,1360.8789
1908-03-15,1360.881
1908-04-15,1360.7982
1908-05-15,1360.9224
1908-06-15,1360.7205
1908-07-15,1360.9121
1908-08-15,1360.2305
1908-09-15,1360.3297
1908-10-15,1360.8337
1908-11-15,1360.5309
1908-12-15,1360.6776
1909-01-15,1360.415
1909-02-15,1360.6644
1909-03-15,1360.5338
1909-04-15,1360.6265
1909-05-15,1360.5286
1909-06-15,1360.5847
1909-07-15,1360.4492
1909-08-15,1360.7375
1909-09-15,1360.5173
1909-10-15,1360.6372
1909-11-15,1360.6809
1909-12-15,1360.6481
1910-01-15,1360.6753
1910-02-15,1360.3622
1910-03-15,1360.5006
1910-04-15,1360.5067
1910-05-15,1360.4435
1910-06-15,1360.4961
1910-07-15,1360.4177
1910-08-15,1360.421
1910-09-15,1360.4479
1910-10-15,1360.3839
1910-11-15,1360.4369
1910-12-15,1360.3553
1911-01-15,1360.3387
1911-02-15,1360.353
1911-03-15,1360.4055
1911-04-15,1360.432
1911-05-15,1360.448
1911-06-15,1360.3665
1911-07-15,1360.3524
1911-08-15,1360.339
1911-09-15,1360.3068
1911-10-15,1360.3102
1911-11-15,1360.3003
1911-12-15,1360.3049
1912-01-15,1360.2805
1912-02-15,1360.285
1912-03-15,1360.2985
1912-04-15,1360.282
1912-05-15,1360.324
1912-06-15,1360.3225
1912-07-15,1360.3217
1912-08-15,1360.316
1912-09-15,1360.351
1912-10-15,1360.3011
1912-11-15,1360.306
1912-12-15,1360.2914
1913-01-15,1360.3239
1913-02-15,1360.3223
1913-03-15,1360.3031
1913-04-15,1360.2992
1913-05-15,1360.2863
1913-06-15,1360.2874
1913-07-15,1360.303
1913-08-15,1360.2938
1913-09-15,1360.3038
1913-10-15,1360.3236
1913-11-15,1360.3208
1913-12-15,1360.3203
1914-01-15,1360.3434
1914-02-15,1360.3429
1914-03-15,1360.3779
1914-04-15,1360.3324
1914-05-15,1360.4321
1914-06-15,1360.3585
1914-07-15,1360.4089
1914-08-15,1360.3063
1914-09-15,1360.3726
1914-10-15,1360.5046
1914-11-15,1360.5404
1914-12-15,1360.6149
1915-01-15,1360.6925
1915-02-15,1360.638
1915-03-15,1360.8663
1915-04-15,1360.4952
1915-05-15,1360.7225
1915-06-15,1360.6115
1915-07-15,1360.629
1915-08-15,1360.7322
1915-09-15,1360.7513
1915-10-15,1360.7349
1915-11-15,1360.9137
1915-12-15,1360.9131
1916-01-15,1360.949
1916-02-15,1360.9712
1916-03-15,1360.8325
1916-04-15,1360.9889
1916-05-15,1360.8947
1916-06-15,1360.8363
1916-07-15,1361.0159
1916-08-15,1361.0513
1916-09-15,1361.0265
1916-10-15,1360.868
1916-11-15,1361.0573
1916-12-15,1361.0192
1917-01-15,1361.0227
1917-02-15,1360.7588
1917-03-15,1361.1195
1917-04-15,1361.1674
1917-05-15,1361.097
1917-06-15,1361.3325
1917-07-15,1361.4248
1917-08-15,1360.9503
1917-09-15,1361.3086
1917-10-15,1361.29
1917-11-15,1361.3248
1917-12-15,1360.993
1918-01-15,1361.0463
1918-02-15,1361.2041
1918-03-15,1361.1666
1918-04-15,1361.1488
1918-05-15,1361.1927
1918-06-15,1361.2892
1918-07-15,1361.1686
1918-08-15,1360.9011
1918-09-15,1361.1702
1918-10-15,1361.03
1918-11-15,1361.0939
1918-12-15,1360.8207
1919-01-15,1360.9061
1919-02-15,1360.6277
1919-03-15,1360.7255
1919-04-15,1360.9299
1919-05-15,1360.6547
1919-06-15,1360.9186
1919-07-15,1361.2766
1919-08-15,1360.8093
1919-09-15,1360.8118
1919-10-15,1360.8275
1919-11-15,1360.6515
1919-12-15,1360.9061
1920-01-15,1360.3235
1920-02-15,1360.9097
1920-03-15,1360.3444
1920-04-15,1360.7183
1920-05-15,1360.9012
1920-06-15,1360.7883
1920-07-15,1360.7162
1920-08-15,1360.7253
1920-09-15,1360.42
1920-10-15,1360.7155
1920-11-15,1360.5609
1920-12-15,1360.6433
1921-01-15,1360.6016
1921-02-15,1360.6608
1921-03-15,1360.6228
1921-04-15,1360.6737
1921-05-15,1360.4331
1921-06-15,1360.64
1921-07-15,1360.5803
1921-08-15,1360.5603
1921-09-15,1360.4979
1921-10-15,1360.4755
1921-11-15,1360.357
1921-12-15,1360.4023
1922-01-15,1360.6047
1922-02-15,1360.4683
1922-03-15,1360.1798
1922-04-15,1360.631
1922-05-15,1360.4442
1922-06-15,1360.4902
1922-07-15,1360.4297
1922-08-15,1360.4274
1922-09-15,1360.443
1922-10-15,1360.4757
1922-11-15,1360.437
1922-12-15,1360.2739
1923-01-15,1360.4409
1923-02-15,1360.4012
1923-03-15,1360.3938
1923-04-15,1360.4331
1923-05-15,1360.4266
1923-06-15,1360.4193
1923-07-15,1360.421
1923-08-15,1360.4294
1923-09-15,1360.4735
1923-10-15,1360.5155
1923-11-15,1360.4666
1923-12-15,1360.4276
1924-01-15,1360.3855
1924-02-15,1360.3593
1924-03-15,1360.4143
1924-04-15,1360.4319
1924-05-15,1360.5908
1924-06-15,1360.5356
1924-07-15,1360.6461
1924-08-15,1360.5957
1924-09-15,1360.5416
1924-10-15,1360.5583
1924-11-15,1360.3947
1924-12-15,1360.5779
1925-01-15,1360.5635
1925-02-15,1360.5614
1925-03-15,1360.6141
1925-04-15,1360.8859
1925-05-15,1360.754
1925-06-15,1360.9055
1925-07-15,1360.8922
1925-08-15,1360.8801
1925-09-15,1361.1259
1925-10-15,1360.8479
1925-11-15,1360.5969
1925-12-15,1360.0085
1926-01-15,1360.4006
1926-02-15,1360.6045
1926-03-15,1360.7406
1926-04-15,1361.1233
1926-05-15,1360.8163
1926-06-15,1360.8215
1926-07-15,1360.9242
1926-08-15,1360.9867
1926-09-15,1360.7644
1926-10-15,1360.7799
1926-11-15,1361.1711
1926-12-15,1360.8922
1927-01-15,1360.6729
1927-02-15,1361.1758
1927-03-15,1361.4382
1927-04-15,1361.209
1927-05-15,1361.2844
1927-06-15,1360.991
1927-07-15,1360.9291
1927-08-15,1360.8049
1927-09-15,1360.8964
1927-10-15,1361.0906
1927-11-15,1360.8536
1927-12-15,1360.9628
1928-01-15,1360.7133
1928-02-15,1361.0875
1928-03-15,1360.893
1928-04-15,1361.0089
1928-05-15,1360.8877
1928-06-15,1360.9872
1928-07-15,1360.8113
1928-08-15,1361.1423
1928-09-15,1360.4314
1928-10-15,1360.9806
1928-11-15,1361.0385
1928-12-15,1360.8182
1929-01-15,1360.8595
1929-02-15,1361.001
1929-03-15,1360.731
1929-04-15,1360.8513
1929-05-15,1361.0117
1929-06-15,1361.0715
1929-07-15,1361.1735
1929-08-15,1361.2346
1929-09-15,1361.1666
1929-10-15,1360.4884
1929-11-15,1360.2743
1929-12-15,1360.2976
1930-01-15,1361.1006
1930-02-15,1361.0896
1930-03-15,1360.725
1930-04-15,1360.7805
1930-05-15,1360.784
1930-06-15,1360.8396
1930-07-15,1360.8895
1930-08-15,1360.776
1930-09-15,1360.8344
1930-10-15,1360.505
1930-11-15,1360.5754
1930-12-15,1360.851
1931-01-15,1360.7676
1931-02-15,1360.492
1931-03-15,1360.6659
1931-04-15,1360.8218
1931-05-15,1360.7435
1931-06-15,1360.672
1931-07-15,1360.7386
1931-08-15,1360.7098
1931-09-15,1360.7283
1931-10-15,1360.6389
1931-11-15,1360.5675
1931-12-15,1360.6191
1932-01-15,1360.6449
1932-02-15,1360.565
1932-03-15,1360.5704
1932-04-15,1360.5121
1932-05-15,1360.5931
1932-06-15,1360.5867
1932-07-15,1360.6172
1932-08-15,1360.5537
1932-09-15,1360.554
1932-10-15,1360.5735
1932-11-15,1360.5316
1932-12-15,1360.4952
1933-01-15,1360.5696
1933-02-15,1360.3217
1933-03-15,1360.5216
1933-04-15,1360.5201
1933-05-15,1360.5177
1933-06-15,1360.5106
1933-07-15,1360.509
1933-08-15,1360.478
1933-09-15,1360.499
1933-10-15,1360.4725
